user_id,content_id,action,timestamp,device,region,session_id
179,1001,skip,2023-09-03 13:34:55,tablet,APAC,S8815
165,1010,skip,2023-09-03 15:8:36,desktop,EU,S1745
200,1009,pause,2023-09-03 14:3:47,desktop,APAC,S3794
172,1003,play,2023-09-03 20:57:5,tablet,US,S2956
107,1008,pause,2023-09-03 15:2:32,desktop,US,S4048
193,1009,play,2023-09-03 12:12:27,mobile,EU,S6885
122,1010,pause,2023-09-03 23:4:40,mobile,US,S5906
124,1008,forward,2023-09-03 9:15:18,tablet,EU,S8920
154,1000,pause,2023-09-03 15:18:29,mobile,US,S5367
144,1009,skip,2023-09-03 13:42:3,tablet,APAC,S6388
163,1008,play,2023-09-03 18:7:50,tablet,US,S7909
194,1001,forward,2023-09-03 21:12:6,mobile,US,S9362
196,1008,play,2023-09-03 6:4:36,mobile,APAC,S2768
135,1002,skip,2023-09-03 4:12:4,tablet,EU,S6820
131,1009,forward,2023-09-03 3:11:44,mobile,US,S8482
194,1005,play,2023-09-03 14:23:8,tablet,EU,S9498
130,1010,skip,2023-09-03 10:37:0,tablet,APAC,S7531
140,1000,skip,2023-09-03 18:28:30,desktop,EU,S3134
138,1003,forward,2023-09-03 6:8:53,mobile,EU,S5652
160,1009,skip,2023-09-03 21:6:51,mobile,US,S7561
169,1009,pause,2023-09-03 7:13:56,mobile,EU,S1710
144,1010,pause,2023-09-03 4:4:3,tablet,US,S4085
119,1001,play,2023-09-03 2:51:15,tablet,US,S2149
