user_id,content_id,action,timestamp,device,region,session_id
151,1001,skip,2023-09-04 20:4:51,tablet,APAC,S3490
155,1010,play,2023-09-04 3:2:15,tablet,APAC,S6614
115,1009,forward,2023-09-04 4:17:7,tablet,US,S6710
157,1000,skip,2023-09-04 11:7:32,desktop,APAC,S4688
120,1001,skip,2023-09-04 16:1:12,mobile,EU,S3120
149,1005,skip,2023-09-04 0:2:36,tablet,APAC,S1213
163,1010,skip,2023-09-04 16:58:42,mobile,US,S4633
120,1001,forward,2023-09-04 7:25:27,desktop,EU,S2732
102,1007,skip,2023-09-04 6:28:18,mobile,US,S1442
175,1005,forward,2023-09-04 16:19:14,mobile,US,S5714
117,1008,pause,2023-09-04 18:5:18,mobile,EU,S3294
137,1004,skip,2023-09-04 13:56:42,mobile,US,S6861
154,1003,pause,2023-09-04 3:52:58,desktop,US,S4185
100,1008,forward,2023-09-04 21:44:38,tablet,US,S4331
133,1010,play,2023-09-04 11:39:52,mobile,APAC,S7744
101,1001,pause,2023-09-04 16:45:27,mobile,US,S4603
130,1005,pause,2023-09-04 16:56:7,mobile,EU,S7993
124,1003,pause,2023-09-04 15:33:52,desktop,APAC,S4071
155,1002,skip,2023-09-04 9:1:20,desktop,APAC,S8045
192,1000,pause,2023-09-04 11:30:3,mobile,US,S1622
145,1008,forward,2023-09-04 16:2:18,mobile,APAC,S8191
154,1008,forward,2023-09-04 0:7:16,desktop,EU,S7409
190,1010,play,2023-09-04 8:53:33,desktop,EU,S7273
181,1000,forward,2023-09-04 1:36:33,tablet,EU,S4829
